ContactID,name,first_name,last_name,Dear,address1,city,state,zip,Region,Country,Title,work_phone,work_phone_ext,HomePhone,MobilePhone,fax_number,email,FedexNumber,AirborneNumber,FEDexPrefered,AirbornePrefered,ship_airborn,ship_fedex,ShipTo,ShipToAtt,ShipToAddress,ShipToCity,ShipToState,ShipTozipcode,SHIPTOALT
453053849,Rockaway Chrysler,,,,550 Burnside Ave,Inwood,NY,11096,,,,877-393-2640,,,,,,611847726,,True,False,False,False,,,,,,,False
453053850,Accurate Auto Leasing,Herb,,,1250 Broadway,Hewlett,NY,11557,,,,516-569-2176,,,,,,1057-8966-1,,True,False,False,False,,,,,,,True
453053851,Action Nissan CHANGED THEIR NAME,rOCKLAND NISSAN,,,40 Route 59,Nyack,NY,10960,,,,845-358-6700,,,,,,152011520,,True,False,False,False,,,,,,,False
453053852,Acura of Somerville,Cindy ,           ,,Route 22 West,Bridgewater,NJ,08807,,,,908-704-0300,,,,908-704-0559,,1283-9607-1,,True,False,False,False,,,,,,,False
453053853,Airport Motors Inc,Bill  Colwick ,,,556 Yarmouth Road,Hyannis,MA,02601,,,,508-775-1444,,,,,,1199-7224-0,,True,False,False,False,,,,,,,False
453053854,ALCO Cadillac Pontiac Inc.,Fran   (UPS),,,374 Route 9 West,Englewood Cliffs,NJ,07632,,,,201-568-2750 Ext 319,,,,201-568-5539,,1377-2650-5,,True,False,False,False,,,,,,,False
453053855,Alfredo Foreign Car,Melody  (F),,,2030 Boston Post Rd.,Larchmont,NY,10538,,,,914-834-4222,,,,,,,X82765,False,True,False,False,,,,,,,False
453053856,Alfredo's Foreign Cars,Sylvana/3PM ONLY,,,2030 Boston Post Road,Larchmont,NY,10538,,,,914-834-4222,,,,914-834-8170,,,X82765,False,True,False,False,,,,,,,False
453053857,Allstate Leasing Inc,Lynn ,,,9428 Reisterstown Road,Owings Mills,MD,21117,,,,410-363-6500,,,,,,,75005883,False,True,False,False,,,,,,,False
453053858,American Service Center - Me/Be-Isuzu,Rose / Stephanie,,,585 N Glebe Road,Arlington,VA,22203-2197,,,,703-525-2100,,,,,,1005-3792-3,,True,False,False,False,,,,,,,False
453053859,Anthracite Leasing Co Inc,Patricia,,,2661 Route 130,Cranbury,NJ,08512,,,,609-655-8833,,,,609-655-2102,,,140710930,False,True,False,False,,,,,,,False
453053860,Apple Chevrolet,Jackie,,,2900 Broadway,Fair Lawn,NJ,07410,,,,201-796-2220,,,,,,1092-6546-2,,True,False,False,False,,,,,,,False
453053861,Apple Lincoln,Yvette/Lucy,,,62-10 Northern Blvd.,Woodside,NY,11377,,,,718-457-4400,,,,718-898-8850,,,101980469,False,True,False,False,,,,,,,False
