CORP_CODE_ID,corp_code,fed_tax_id,name,FIRST_NAME,MIDDLE_NAME_NAME,LAST_NAME,address1,city,state,zip,COUNTY
6,185150000761610,,CHRYSLER CAPITAL,,,,PO BOX 961272,FT WORTH,TX,76161,
7,039443347958991 ,,AMERICAN HONDA FINANCE CORP,,,,PO BOX 997527,SACRAMENTO,CA,95899,
8,039443347010400,,AMERICAN HONDA FINANCE CORP,,,,600 KELLY WAY,HOLYOKE,MA,01040,
9,482583178761010,112690123,JP MORGAN CHASE BANK NA,,,,PO BOX 901098,FT WORTH,TX,76101,
10,074039595322020,,BANK OF AMERICA NA,,,,PO BOX 2759 ,JACKSONVILLE,FL,32202,
11,603586009958650,,NISSAN MOTOR ACCEPTANCE CORP,,,,PO BOX 254648,SACRAMENTO,CA,95865,
12,866065347958990,,TD AUTO FINANCE LLC,,,,PO BOX 997551,SACRAMENTO,FL,95899,
13,238009231480370,,CREDIT ACCEPTANCE CORP,,,,PO BOX 513 ,SOUTHFIELD,MI,48037,
14,590238922100070,,MUNICIPAL CREDIT UNION,,,,22 CORTLAND ST,NEW YORK,NY,10007,
15,930074596549030,,US BANK NA,,,,PO BOX 3427,OSHKOSH,WI,54903,
16,933949238600480,,VW CREDIT INC,,,,1401 FRANKLIN BLVD,LIBERTYVILLE,IL,60048,
17,450505519303480,,HTD LEASING LLC,,,,PO BOX 105704,ATLANTA,GA,30348,
18,349601074180020,,FIRST NIAGRA BANK NA,,,,PO BOX 21990,LEHIGH VALLEY,PA,18002,
19,958335255958990,,WELLS FARGO DEALER SERV INC,,,,PO BOX 997517,SACRAMENTO,CA,95899,
20,150618065958660,,CAPITAL ONE AUTO FINANCE,,,,PO BOX 660068,SACRAMENTO,CA,95866,
21,759218930761610,,SANTANDER CONSUMER USA INC,,,,PO BOX 961288,FT WORTH,TX,76161,
22,251886197761770,,DAIMLER TITLE CO,,,,13650 HERITAGE PKWY 2nd FL,FT WORTH,TX,76177,
23,930338761180020,,USAA FEDERAL SAVINGS BANK,,,,PO BOX 24145 ,LEHIGH VALLEY,PA,18002,
24,036347460210300,,ALLY FINANCIAL INC,,,,PO BOX 8140,COCKEYSVILLE,MD,21030,
25,895586238303390,,TOYOTA MOTOR CREDIT CORP,,,,260 INTERSTATE N CIRCLE NW12,ATLANTA,GA,30339,
26,895586238303481,,TOYOTA MOTOR CREDIT CORP,,,,PO BOX 105386,ATLANTA,GA,30348,
27,559087347483310,,MERCEDES BENZ FIN S USA LLC,,,,36455 CORP DRIVE,FERMINGTON HILLS,MI,48331,
28,345879074958990,,FIFTH THIRD BANK,,,,PO BOX 975548,SACRAMENTO,CA,95899,
29,391618519928110,,GATEWAY ONE LENDING & FINANCE,,,,PO BOX 1013,ATWOOD,CA,92811,
30,529859074212030,,M&T BANK,,,,PO BOX 17292,BALTIMORE,MD,21203,
31,529859074142030,,M&T BANK,,,,1 FOUNTAIN PLAZA,BUFFALO,NY,14203,
32,455150039926020,,HYUNDAI CAPITAL AMERICA,,,,210 COMMERCE  SUITE 100,IRVINE,CA,92602,
33,103074604430260,,BMW BANK OF NORTH AMERICA,,,,5550 BRITTON PARKWAY,HILLIARD,OH,43026,
34,935595074074701,,VALLEY NATIONAL BANK ,,,,1445 VALLEY RD,WAYNE ,NJ,07470,
35,450935329126010,,HUDSON VALLEY FCU,,,,159 BARNEGAT RD,POUGHKEEPSIE,NY,12601,
36,362586238303485,,FORD MOTOR CREDIT,,,,PO BOX 105704,ATLANTA,GA,30348,
37,064347783600480,,AUDI FINANCIAL SERVICES,,,,1401 FRANKLIN BLVD,LIBERTYVILLE,IL,60048,
38,576505783606040,,MMCA LEASE SERVICES INC,,,,209 S LASALLE ST  SUITE 300,CHICAGO,IL,60604,
39,715189595958650,,RBS CITIZENS NA,,,,PO BOX 255587,SACRAMENTO,CA,95865,
40,039460400760960,,AMERICREDIT INC GM FINANCIAL ,,,,PO BOX 182673,ARLINGTON,TX,76096,
41,948151347334420,,VOLVO CAR FINANCIAL SVCS US LLC,,,,PO BOX 91300,MOBILE,AL,36691,
42,648338238958650,,PENTAGON FCU,,,,PO BOX 255483,SACRAMENTO,CA,95865,
43,296761074958270,,EAGLEMARK SAVINGS BANK,,,,PO BOX 277940,SACRAMENTO,CA,95827,
44,497347825303540,,LAMBORGHINI FINANCIAL SERVICES,,,,1 PORSCHE DRIVE ,ATLANTA,GA,30354,
45,180379519212030,,CHESAPEAKE FUNDING LLC,,,,PO BOX 13267,BALTIMORE,MD,21203,
46,958335074210940,,WELLS FARGO BANK NA,,,,PO BOX 9000,LUTHERVILLE,MD,21094,
47,675074595152220,,PNC BANK NA,,,,2370 LIBERTY AVE ,PITTSBURGH,PA,15222,
48,556545566654566,,NB CAPITAL,,,,200 THIS IS A TEST WAY,NEW YORK,NY,10003-,
49,556545566654566,,NB CAPITAL,,,,200 THIS IS A TEST WAY,NEW YORK,NY,10003-,
50,781299897842666,,NB FINANIAL LENDING,,,,125 16TH STREET,NUTLEY,NY,03566-,
51,126658899877445,,ADSA,,,,,,,     -,
52,,,CITIZENS BANK NA,,,,PO BOX 255587,SACRAMENTO,CA,95865,
53,603463525958650,336226449,NISSAN INFINTI LT,,,,PO BOX 254648,SACRAMENTO ,CA,95865-,
54,009505525210940,752439388,ACAR LEASING LTD,,,,PO BOX 9000,LUTHERVILLE,MD,21094-,
55,164065505761610,806248405,CCAP AUTO LEASE LTD,,,,PO BOX 961272,FT WORTH,TX,76161,
56,443505909010400,22319314600,HONDA LEASE TRUST,,,,600 KELLY WAY,HOLYOKE,MA,01040,
57,443505909198080,22319314600,HONDA LEASE TRUST,,,,201 LITTLE FALLS DR,WILMINGTON,DE,19808,
58,948238505600480,809614330C,VW CREDIT LEASING LTD,,,,1401 FRANKLIN BLVD,LIBERTYVILLE,IL,60048,
59,930505525549021,51-6524651,USB LEASING LT,,,,1850 OSBORN AVE,OSHKOSH,WI,54902,
60,759074595761610,B0000826829,SANTANDER BANK NA,,,,PO BOX 961272,FORT WORTH,TX,76161,
61,136298519303480,383670462,CAB EAST LLC,,,,PO BOX 105704,ATLANTA ,GA,30348,
62,895505909303480,953775816,TOYOTA LEASE TRUST,,,,PO BOX 105386,ATLANTA,GA,30348,
